ID;Year;Month;YearMonth;Waste;Data
1;2017;1;201701;20243;01/01/2017
2;2017;2;201702;16431;01/02/2017
3;2017;3;201703;17147;01/03/2017
4;2017;4;201704;14550;01/04/2017
5;2017;5;201705;15574;01/05/2017
6;2017;6;201706;14579;01/06/2017
7;2017;7;201707;14508;01/07/2017
8;2017;8;201708;15200;01/08/2017
9;2017;9;201709;14377;01/09/2017
10;2017;10;201710;15806;01/10/2017
11;2017;11;201711;15084;01/11/2017
12;2017;12;201712;17692;01/12/2017
13;2018;1;201801;22099;01/01/2018
14;2018;2;201802;16875;01/02/2018
15;2018;3;201803;16751;01/03/2018
16;2018;4;201804;16167;01/04/2018
17;2018;5;201805;15054;01/05/2018
18;2018;6;201806;14392;01/06/2018
19;2018;7;201807;14879;01/07/2018
20;2018;8;201808;14760;01/08/2018
21;2018;9;201809;14535;01/09/2018
22;2018;10;201810;16517;01/10/2018
23;2018;11;201811;15701;01/11/2018
24;2018;12;201812;18057;01/12/2018
25;2019;1;201901;21144;01/01/2019
26;2019;2;201902;16178;01/02/2019
27;2019;3;201903;17070;01/03/2019
28;2019;4;201904;16189;01/04/2019
29;2019;5;201905;15807;01/05/2019
30;2019;6;201906;14674;01/06/2019
31;2019;7;201907;15453;01/07/2019
32;2019;8;201908;14793;01/08/2019
33;2019;9;201909;14625;01/09/2019
34;2019;10;201910;16527;01/10/2019
35;2019;11;201911;16547;01/11/2019
36;2019;12;201912;19053;01/12/2019
37;2020;1;202001;21111;01/01/2020
38;2020;2;202002;17623;01/02/2020
39;2020;3;202003;15984;01/03/2020
40;2020;4;202004;12741;01/04/2020
41;2020;5;202005;13618;01/05/2020
42;2020;6;202006;14447;01/06/2020
43;2020;7;202007;15510;01/07/2020
44;2020;8;202008;14649;01/08/2020
45;2020;9;202009;14890;01/09/2020
46;2020;10;202010;16098;01/10/2020
47;2020;11;202011;15091;01/11/2020
48;2020;12;202012;19313;01/12/2020
49;2021;1;202101;20752;01/01/2021
50;2021;2;202102;18328;01/02/2021
51;2021;3;202103;17540;01/03/2021
52;2021;4;202104;15602;01/04/2021
53;2021;5;202105;15487;01/05/2021
54;2021;6;202106;15152;01/06/2021
55;2021;7;202107;15281;01/07/2021
56;2021;8;202108;15173;01/08/2021
57;2021;9;202109;14691;01/09/2021
58;2021;10;202110;15897;01/10/2021
59;2021;11;202111;16880;01/11/2021
60;2021;12;202112;21677;01/12/2021
61;2022;1;202201;20394;01/01/2022
62;2022;2;202202;16357;01/02/2022
63;2022;3;202203;18649;01/03/2022
64;2022;4;202204;16100;01/04/2022
65;2022;5;202205;16550;01/05/2022
66;2022;6;202206;15363;01/06/2022
67;2022;7;202207;15401;01/07/2022
68;2022;8;202208;16153;01/08/2022
69;2022;9;202209;15577;01/09/2022
70;2022;10;202210;16063;01/10/2022
71;2022;11;202211;15299;01/11/2022
72;2022;12;202212;20801;01/12/2022
73;2023;1;202301;21657;01/01/2023
74;2023;2;202302;18511;01/02/2023
75;2023;3;202303;19393;01/03/2023
76;2023;4;202304;16917;01/04/2023
77;2023;5;202305;17485;01/05/2023
78;2023;6;202306;16164;01/06/2023
